hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,FQ2IWe src,ah5Ghc,ah5Ghc (2),A1zNzb href,J8zHNe,bbPy1,AJB7ye,AJB7ye (2),Jn12ke src,ah5Ghc (3),ah5Ghc (4),ah5Ghc (5),doJOZc,W4Efsd (7),W4Efsd (8),A1zNzb href (2),J8zHNe (2),bbPy1 (2)
https://www.google.com/maps/place/%E8%82%89%E6%A1%82%E6%A8%B9%E8%82%89%E6%A1%82%E6%8D%B2+The+Cinnamon+Tree+%E5%85%A7%E6%B9%96%E5%BA%97/data=!4m7!3m6!1s0x3442ad00476bbfa9:0xf3b255904874cf62!8m2!3d25.0795142!4d121.5692732!16s%2Fg%2F11yhbbvgcz!19sChIJqb9rRwCtQjQRYs90SJBVsvM?authuser=0&hl=zh-TW&rclk=1,肉桂樹肉桂捲 The Cinnamon Tree 內湖店,5.0,(5),麵包西餅店,瑞光路517號2樓,營業中,· 打烊時間：18:00,·,02 7702 3317,https://lh3.googleusercontent.com/p/AF1QipMcmnR7A-eE7Z71M5ln0jHEAwi3ho0XdhtzBq0D=w139-h92-k-no,來店取貨,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11yhbbvgcz&g2lbs=AO8LyOKqRGinBQbLfvLvv4i9nVZCilOa9GH6a9UByf3kEWCxBUfAQ3x_6fIzWAUgaJrMpyouFQPHwi-4n2yuz4wrlxPKKBpuRx-bw51Z4RiARiOYBpDhhfQ%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,,,,,,,,,,,,
https://www.google.com/maps/place/Dreamers+Coffee+Roasters+%E5%85%A7%E6%B9%96%E5%BA%97/data=!4m7!3m6!1s0x3442adc868847041:0x16acacb1de7323b2!8m2!3d25.0800525!4d121.5688593!16s%2Fg%2F11mndhdwcz!19sChIJQXCEaMitQjQRsiNz3rGsrBY?authuser=0&hl=zh-TW&rclk=1,Dreamers Coffee Roasters 內湖店,4.8,"(2,162)",咖啡廳,瑞光路513巷22弄11號,營業中,· 打烊時間：18:00,·,02 2797 0819,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyY1xUIe4RgF6WkTD9Gaz6W0Wgv4wGfk92v2dh0H7tK5DV4mD5mh3Phjr1oAJeGKFmea19CBV70DhJkJ6QRXUIWfsmWrKVL2MyQpC24wL9kqB45bTqmx4z-LhnSw4At0o8Q3Qgu65ZIuSV1=w80-h142-k-no,"""好喜bagel麵團的樸實麵香；瑞典",肉桂捲,https://www.google.com/viewer/chooseprovider?mid=/g/11mndhdwcz&g2lbs=AO8LyOJFxA-IqBlLM3ZQIDnfc_6--4qTTl1KASFbsJpTnHrEa5641A_l4rPMLK21Pk1Ndfhrm2u-jb9t7k3X2wrPFIieM44sbTaBGtHSgQz4SSGXaq7UJcM%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$200-400,https://ssl.gstatic.com/local/servicebusiness/default_user.png,的,肉桂,"香及甜度也恰到好處🙂""",,,,,,
https://www.google.com/maps/place/%E8%82%89%E6%A1%82%E6%8D%B2%E3%82%B7%E3%83%8A%E3%83%A2%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%AB%E8%A3%BD%E4%BD%9C%E6%89%80+%E5%85%A7%E6%B9%96%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x3442adbf9cf73bc1:0x5a7ad4ec53badd00!8m2!3d25.0783041!4d121.5779502!16s%2Fg%2F11s_vqccpz!19sChIJwTv3nL-tQjQRAN26U-zUelo?authuser=0&hl=zh-TW&rclk=1,肉桂捲シナモンロール製作所 內湖門市,4.6,(407),麵包西餅店,·,營業中,· 打烊時間：19:30,內湖路一段600巷8號,02 2250 5431,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxK5O7eoJCJqeqZDZ0dJ2FwnY4fKpiEHNW36SZ0caNi4fDWAA-_K0uSo_baXXBsEuGYBoXsqZfIfjLKOKp3nTHGL9OHrQgR7U9nfdZGRfeWHVsHLxT9svZnw6s4Ee1C3_RYAtAVbQ=w80-h106-k-no,"""吃過最好吃的",肉桂捲,https://www.google.com/viewer/chooseprovider?mid=/g/11s_vqccpz&g2lbs=AO8LyOJchk-91bXVMmI9bhUoxiCBSh64qyxL9LTYbWJ-Yks95jCgJ2We2XmpMt_zmCcjboPGi_1Qn67RSJlZQu7QVg6SYL-uEDr9p9KyM-JMi8o5pSZEQTI%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$1-200,https://ssl.gstatic.com/local/servicebusiness/default_user.png,，，練不愛,肉桂,"味的人也可以接受，實在太棒了👍🏼""",,·,,,,
https://www.google.com/maps/place/MOYO/data=!4m7!3m6!1s0x3442adb70d1f79a9:0x61791e82ac8eba63!8m2!3d25.0774556!4d121.5763693!16s%2Fg%2F11rvjzbg05!19sChIJqXkfDbetQjQRY7qOrIIeeWE?authuser=0&hl=zh-TW&rclk=1,MOYO,4.8,(65),咖啡店,江南街96巷9號1樓,即將打烊,：17:00 · 開始營業時間：週六13:30,·,02 8751 6058,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRcJs-FxEbST4ZRjN5IexFxgbWXsbx-VHdac6IMqWZBTt4R7aQLCIDBHo4ElwUT93bQFpKhXPp-rdbqIUPjl0--sie-fsJGgECH0lboPYvFf8hb2MzJDvJw56PrZkV47jlkRw=w122-h92-k-no,購物者瀏覽過：,肉桂捲,,,,·,$200-400,https://www.gstatic.com/images/icons/material/system_gm/2x/account_circle_filled_googblue_24dp.png,,,,,,,,,
https://www.google.com/maps/place/AROS+COFFEE+%E4%B8%80%E7%B8%B7%E5%85%89/data=!4m7!3m6!1s0x3442adf45628cdaf:0xa2e591870948bcf0!8m2!3d25.0829173!4d121.5731744!16s%2Fg%2F11qy90kyrx!19sChIJr80oVvStQjQR8LxICYeR5aI?authuser=0&hl=zh-TW&rclk=1,AROS COFFEE 一縷光,4.6,(371),咖啡店,·,營業中,· 打烊時間：18:30,麗山街332 號,02 2799 6898,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-JfjWT0KDZX5kgsJY1whKN_Zo2uDTskeSIkd_vCVpSFwRxvTeAcgRaPaSVMuObtVrozS1n2RNDzpMNy9dyxN8e9sZob2Y-jL3tkJ5k_ySsdNu0y5LknxF1vfaLTEInErtahUf=w92-h92-k-no,購物者瀏覽過：,肉桂捲,https://www.google.com/viewer/chooseprovider?mid=/g/11qy90kyrx&g2lbs=AO8LyOL8_FFKlmTiWrwKlmHo68JxP-3YdCFvvpu4njc3-M7tk9IvILYjiXY3-y7nny1fGDgKWJpuzGRYSMboiyS1l6b97vzo9U7jQxl2hwa7LO2GdCXc0Wk%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$200-400,https://www.gstatic.com/images/icons/material/system_gm/2x/account_circle_filled_googblue_24dp.png,,,,,·,,,,
https://www.google.com/maps/place/%E6%B0%B8%E5%B8%8C%E5%92%96%E5%95%A1%E9%BA%97%E5%B1%B1%E5%BA%97%EF%BC%88VISAVISCOFFEE+LISHAN%EF%BC%89%E3%80%8A%E5%BF%AB%E9%80%9F%E8%87%AA%E5%8F%96%E5%92%96%E5%95%A1%E3%80%8B%E5%92%96%E5%95%A1%E8%B1%86%E6%8E%A8%E8%96%A6%EF%BD%9C%E5%92%96%E5%95%A1%E8%B1%86%E5%A4%96%E9%80%81%EF%BD%9C%E6%9C%83%E8%AD%B0%E9%BB%9E%E5%BF%83%EF%BD%9C%E5%9C%98%E8%B3%BC%E5%92%96%E5%95%A1%EF%BD%9C%E7%B2%BE%E7%B7%BB%E4%B8%8B%E5%8D%88%E8%8C%B6%EF%BD%9C%E5%B9%B3%E5%83%B9%E5%92%96%E5%95%A1%EF%BD%9C%E4%B8%8A%E7%8F%AD%E6%97%8F%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442adcccfcd7877:0xedf4e57d5e6faef5!8m2!3d25.0817519!4d121.5707203!16s%2Fg%2F11t_r4kr3y!19sChIJd3jNz8ytQjQR9a5vXn3l9O0?authuser=0&hl=zh-TW&rclk=1,永希咖啡麗山店（VISAVISCOFFEE LISHAN）《快速自取咖啡》咖啡豆推薦｜咖啡豆外送｜會議點心｜團購咖啡｜精緻下午茶｜平價咖啡｜上班族咖啡,4.9,(46),咖啡廳,內湖路一段407號1樓,已打烊,⋅ 開始營業時間：週六09:00,·,02 2657 3737,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyxv4CiVjuXjlAnPSX_x_rSrw6ELA6eAnLbzW-FlqLzdg_dmm_FgDxC45ggx697giNSHKRABQoSRbgruXkBIpVUbwbAJjjaz3Vxjg5ic6iTeRZ9-pPn2s6YLrY3xaXTOLo4Jg4N=w163-h92-k-no,"""拿鐵很平衡順口，抹茶",肉桂捲,,,,·,$1-200,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"蠻好吃，濕潤有彈性，抹茶醬不會太甜。""",,,,,,,,
https://www.google.com/maps/place/%E8%82%89%E6%A1%82%E5%85%88%E7%94%9F+Mr.cinnamon/data=!4m7!3m6!1s0x3442a9f2ac32d83b:0xd1f168e2d5cfa22!8m2!3d25.0498406!4d121.5198073!16s%2Fg%2F11rgc06c90!19sChIJO9gyrPKpQjQRIvpcLY4WHw0?authuser=0&hl=zh-TW&rclk=1,肉桂先生 Mr.cinnamon,4.7,(315),甜品店,·,營業中,· 打烊時間：19:00,長安西路52巷12號號旁,02 2559 8945,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznvSHr4RBetGFgdlTrAJorn_OgZyQEvGiOYatEwf-EB5AIzW8TT30DJ8iIyyN132TkVY6f_sBZy4muOMH3lklWbUsM6ICwzF1fYQf92N8SYIYlvxR44A3vnfUnsGatgVVl5stfEQ=w92-h92-k-no,購物者瀏覽過：,肉桂捲,,,,,,https://www.gstatic.com/images/icons/material/system_gm/2x/account_circle_filled_googblue_24dp.png,,,,,·,,,,
https://www.google.com/maps/place/CINNaTREAT+%E8%82%89%E6%A1%82%E6%AC%BE%E5%BE%85+%E9%BB%9E%E5%BF%83%E5%9D%8A%EF%BC%88%E8%82%89%E6%A1%82%E6%8D%B2%E5%B0%88%E9%96%80%E5%BA%97%29/data=!4m7!3m6!1s0x3442ab7097355f63:0x7cb38801c24d112d!8m2!3d25.053049!4d121.5550772!16s%2Fg%2F11wnmyg510!19sChIJY181l3CrQjQRLRFNwgGIs3w?authuser=0&hl=zh-TW&rclk=1,CINNaTREAT 肉桂款待 點心坊（肉桂捲專門店),5.0,(126),麵包西餅店,南京東路四段133巷8弄1號,即將打烊,：17:00 · 開始營業時間：週三12:00,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz9rp0dfAQ-XT--zneMVpX7CB0K_MGD26Nq7QxXe63Jm2DN6NBojY6HksJhjAkqYIBjrwmOOuMeYCzav-m1hTsUiHxWyeB0nYgOPTnJYkoyuDkpksRfV7nmtmZIXkzphxnAVQdU=w80-h106-k-no,"""終於🥹又找到好吃",的肉桂,https://www.google.com/viewer/chooseprovider?mid=/g/11wnmyg510&g2lbs=AO8LyOILuAoumvsrx5vDuduP1t0Yq-IBhGiBWk8yMhd8w-4-0cz7AdUxTRQ_AeB8qblE31TuW9CrRq5HgagdyIGxfcTqsMj5Qae90yojNBckPCY4PTMTg-o%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$1-200,https://ssl.gstatic.com/local/servicebusiness/default_user.png,捲了🥹 濕潤又,扎實,"肉桂味又很夠而且不會太甜！""",,,,,,
https://www.google.com/maps/place/Miss+V+Bakery+Cafe+%E8%B5%A4%E5%B3%B0%E5%BA%97/data=!4m7!3m6!1s0x3442a969841196cf:0x3d98adc0ae84443!8m2!3d25.0556886!4d121.5202932!16s%2Fg%2F11btwsp7g_!19sChIJz5YRhGmpQjQRQ0ToCtyK2QM?authuser=0&hl=zh-TW&rclk=1,Miss V Bakery Cafe 赤峰店,4.2,"(2,123)",咖啡廳,·,營業中,· 打烊時間：19:00,赤峰街49巷22號1樓,02 2559 7391,https://lh3.googleusercontent.com/p/AF1QipPizcKi-A9M_Exc8iU4bvAPhqo52PqJj02WXvQo=w137-h92-k-no,"""招牌的",肉桂捲,https://www.google.com/viewer/chooseprovider?mid=/g/11btwsp7g_&g2lbs=AO8LyOJKDQbnCkp2dzkfHxuvSnhryU-6Wr-RjzqBAP5NyVezrkh5eg0DBFgqHX8A5WA1TsA5OPUB1WQ-MIdSDCuv1nLEY9EcqU50ngGj-i-Ml7Ra6qBiFRA%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=X9E7acq_K-rU1e8P2pSQ4AY&ei=X9E7acq_K-rU1e8P2pSQ4AY&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$200-400,https://ssl.gstatic.com/local/servicebusiness/default_user.png,真的很好吃，,肉桂,"味濃又不會太甜膩。""",,提供甜點和蛋糕的舒適咖啡館,·,,,
https://www.google.com/maps/place/Niho+cinnamon+rolls+%E8%82%89%E6%A1%82%E6%8D%B2%E7%A6%AE%E7%9B%92%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x3442a91701108e8f:0x3a551cc5a78d09ea!8m2!3d25.0540223!4d121.5220645!16s%2Fg%2F11thqx8jwf!19sChIJj44QARepQjQR6gmNp8UcVTo?authuser=0&hl=zh-TW&rclk=1,Niho cinnamon rolls 肉桂捲禮盒專門店,4.9,(385),禮盒專賣店,·,營業中,· 打烊時間：19:00,中山北路二段26巷5號,0913 390 728,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzu63qN7fz7kXyWMprKznBxddrl_0j-jCFX2F8Z1ufbA5ridOoKx9g_La-xVyjcSrsbbs5l2FiAblO34WsNO3J3CP2ioKc5i5_rlegiCusNY8ECoyr6q3xkLk1Aj2V-IN8TzZUV=w122-h92-k-no,"""本身不太吃肉桂",捲,,,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,的我，吃下去整個對,肉桂捲,"改觀，超級好吃！""",,·,,,,
